router,initial_nodes,final_nodes,keys,keys_moved,movement_pct,load3_pcts,load3_max_min_ratio,load4_pcts,load4_max_min_ratio,ops_per_sec,avg_us,p50_us,p95_us,p99_us,max_us
modulo,3,4,100000,74879,74.88,32.92/33.5/33.58,1.02,24.89/25.1/24.99/25.02,1.01,10129.18,96,100,200,500,18611
consistent,3,4,100000,25991,25.99,35.89/32.31/31.81,1.13,25.92/21.41/26.67/25.99,1.25,9085.34,108,100,500,500,22374
